user_id,product_identifier,frequency_type,inception_policy_id,adjustment_policy_id,change_number,transaction_type,effective_start_date,effective_end_date,ftp_start_date,ftp_valid_until,flex_policy_earned_hours,transaction_gwp,policy_total_gwp
15992,GB_delivery_flex_scooter,flex,221009,221009,1,Flex Policy,05/01/2018,05/01/2018,,,1.05,0.67,1.34
20450,GB_delivery_flex_scooter,flex,221392,221392,0,Flex Policy,05/01/2018,05/01/2018,,,5.97,3.48,3.48
4949,GB_delivery_flex_scooter,flex,221527,221527,0,Flex Policy,05/01/2018,05/01/2018,,,1,0.67,0.67
15668,GB_delivery_flex_scooter,flex,222656,222656,0,Flex Policy,07/01/2018,07/01/2018,,,14,2.14,2.14
14690,GB_delivery_flex_scooter,flex,222788,222788,0,Flex Policy,07/01/2018,07/01/2018,,,3,1.74,1.74
15992,GB_delivery_flex_scooter,flex,223435,223435,0,Flex Policy,08/01/2018,08/01/2018,,,11,4.46,4.46
14690,GB_delivery_flex_scooter,flex,223801,223801,0,Flex Policy,08/01/2018,08/01/2018,,,5,2.9,2.9
22597,GB_delivery_flex_scooter,flex,223825,223825,0,Flex Policy,08/01/2018,08/01/2018,,,,0,0
20450,GB_delivery_flex_scooter,flex,223841,223841,0,Flex Policy,08/01/2018,08/01/2018,,,6,3.3,3.3
15992,GB_delivery_flex_scooter,flex,224190,224190,0,Flex Policy,09/01/2018,09/01/2018,,,11,4.46,4.46
20450,GB_delivery_flex_scooter,flex,224589,224589,0,Flex Policy,09/01/2018,09/01/2018,,,5,2.9,2.9
15668,GB_delivery_flex_scooter,flex,225274,225274,0,Flex Policy,10/01/2018,10/01/2018,,,10.11,4.46,4.46
15992,GB_delivery_flex_scooter,flex,225866,225866,0,Flex Policy,11/01/2018,11/01/2018,,,11,4.46,4.46
22597,GB_delivery_flex_scooter,flex,226035,226035,0,Flex Policy,11/01/2018,11/01/2018,,,,0,0
15589,GB_delivery_flex_car,flex,226088,226088,0,Flex Policy,10/01/2018,10/01/2018,,,4.58,5.58,5.58
15668,GB_delivery_flex_scooter,flex,226181,226181,0,Flex Policy,11/01/2018,11/01/2018,,,9.81,4.46,4.46
20450,GB_delivery_flex_scooter,flex,226419,226419,0,Flex Policy,11/01/2018,11/01/2018,,,6,3.48,3.48
22597,GB_delivery_flex_scooter,flex,226658,226658,0,Flex Policy,11/01/2018,11/01/2018,,,2,1.34,1.34
15992,GB_delivery_flex_scooter,flex,226804,226804,0,Flex Policy,12/01/2018,12/01/2018,,,12,4.46,4.46
15668,GB_delivery_flex_scooter,flex,227107,227107,0,Flex Policy,12/01/2018,12/01/2018,,,9.97,4.46,4.46
22597,GB_delivery_flex_scooter,flex,228734,228734,0,Flex Policy,13/01/2018,13/01/2018,,,3,2.01,2.01
15668,GB_delivery_flex_scooter,flex,228947,228947,0,Flex Policy,14/01/2018,14/01/2018,,,,0,0
15992,GB_delivery_flex_scooter,flex,229821,229821,0,Flex Policy,15/01/2018,15/01/2018,,,10,4.46,4.46
15589,GB_delivery_flex_car,flex,230194,230194,0,Flex Policy,12/01/2018,12/01/2018,,,4.05,5.58,5.58
15668,GB_delivery_flex_scooter,flex,230860,230860,0,Flex Policy,16/01/2018,16/01/2018,,,9.88,4.46,4.46
15992,GB_delivery_flex_scooter,flex,231457,231457,0,Flex Policy,17/01/2018,17/01/2018,,,11,4.46,4.46
9515,GB_delivery_flex_scooter,flex,231727,231727,0,Flex Policy,17/01/2018,17/01/2018,,,3,2.01,2.01
15668,GB_delivery_flex_scooter,flex,231751,231751,0,Flex Policy,17/01/2018,17/01/2018,,,9.87,4.46,4.46
15589,GB_delivery_flex_car,flex,231916,231916,0,Flex Policy,16/01/2018,16/01/2018,,,4.97,5.58,5.58
15992,GB_delivery_flex_scooter,flex,233401,233401,0,Flex Policy,19/01/2018,19/01/2018,,,11,4.46,4.46
24230,GB_delivery_flex_car,flex,233512,233512,0,Flex Policy,19/01/2018,19/01/2018,,,2,2.23,2.23
15589,GB_delivery_flex_car,flex,233713,233713,0,Flex Policy,18/01/2018,18/01/2018,,,5.08,6.7,6.7
20450,GB_delivery_flex_scooter,flex,234001,234001,0,Flex Policy,19/01/2018,19/01/2018,,,5,2.9,2.9
20450,GB_delivery_flex_scooter,flex,235319,235319,0,Flex Policy,20/01/2018,20/01/2018,,,4,2.32,2.32
15668,GB_delivery_flex_scooter,flex,236623,236623,0,Flex Policy,22/01/2018,22/01/2018,,,10,4.46,4.46
6269,GB_delivery_flex_scooter,flex,237592,237592,0,Flex Policy,23/01/2018,23/01/2018,,,4,2.68,2.68
9515,GB_delivery_flex_scooter,flex,237656,237656,0,Flex Policy,23/01/2018,23/01/2018,,,2,0.98,0.98
15992,GB_delivery_flex_scooter,flex,238292,238292,0,Flex Policy,24/01/2018,24/01/2018,,,11,4.46,4.46
15589,GB_delivery_flex_car,flex,238414,238414,0,Flex Policy,23/01/2018,23/01/2018,,,6.92,7.81,7.81
20450,GB_delivery_flex_scooter,flex,238702,238702,0,Flex Policy,24/01/2018,24/01/2018,,,5,2.9,2.9
15668,GB_delivery_flex_scooter,flex,238848,238848,0,Flex Policy,24/01/2018,24/01/2018,,,5.73,3.48,3.48
9515,GB_delivery_flex_scooter,flex,239432,239432,0,Flex Policy,25/01/2018,25/01/2018,,,5,2.46,2.46
15668,GB_delivery_flex_scooter,flex,239517,239517,0,Flex Policy,25/01/2018,25/01/2018,,,10.31,4.46,4.46
9515,GB_delivery_flex_scooter,flex,239706,239706,1,Flex Policy,25/01/2018,25/01/2018,,,1,0.49,0.49
9515,GB_delivery_flex_scooter,flex,239706,239706,0,Flex Policy,25/01/2018,25/01/2018,,,1,0,0.49
9515,GB_delivery_flex_scooter,flex,240534,240534,0,Flex Policy,26/01/2018,26/01/2018,,,4,1.96,1.96
15668,GB_delivery_flex_scooter,flex,240667,240667,0,Flex Policy,26/01/2018,26/01/2018,,,10.14,4.46,4.46
15364,GB_delivery_flex_scooter,flex,241092,241092,0,Flex Policy,26/01/2018,26/01/2018,,,1,0.67,0.67
21607,GB_delivery_flex_scooter,flex,241687,241687,0,Flex Policy,27/01/2018,27/01/2018,,,13,4.46,4.46
15668,GB_delivery_flex_scooter,flex,243021,243021,0,Flex Policy,28/01/2018,28/01/2018,,,,0,0
24230,GB_delivery_flex_car,flex,243541,243541,0,Flex Policy,28/01/2018,28/01/2018,,,5,5.58,5.58
20450,GB_delivery_flex_scooter,flex,244853,244853,0,Flex Policy,29/01/2018,29/01/2018,,,2,0.98,0.98
20450,GB_delivery_flex_scooter,flex,245252,245252,0,Flex Policy,29/01/2018,29/01/2018,,,2,0.98,0.98
15589,GB_delivery_flex_car,flex,245780,245780,0,Flex Policy,29/01/2018,29/01/2018,,,6.78,7.81,7.81
20450,GB_delivery_flex_scooter,flex,246126,246126,0,Flex Policy,30/01/2018,30/01/2018,,,1,0.49,0.49
11447,GB_delivery_flex_scooter,flex,246248,246248,0,Flex Policy,30/01/2018,30/01/2018,,,4,1.96,1.96
11149,GB_delivery_flex_scooter,flex,124621,124621,0,Flex Policy,26/08/2017,26/08/2017,,,3,2.01,2.01
11149,GB_delivery_flex_scooter,flex,127481,127481,0,Flex Policy,01/09/2017,01/09/2017,,,10,4.46,4.46
9515,GB_delivery_flex_scooter,flex,131556,131556,0,Flex Policy,07/09/2017,07/09/2017,,,4,2.68,2.68
11149,GB_delivery_flex_scooter,flex,132268,132268,0,Flex Policy,09/09/2017,09/09/2017,,,4,2.68,2.68
9515,GB_delivery_flex_scooter,flex,132398,132398,0,Flex Policy,09/09/2017,09/09/2017,,,2,1.34,1.34
9515,GB_delivery_flex_scooter,flex,135041,135041,0,Flex Policy,14/09/2017,14/09/2017,,,5,3.35,3.35
9515,GB_delivery_flex_scooter,flex,135641,135641,0,Flex Policy,15/09/2017,15/09/2017,,,4,2.68,2.68
11149,GB_delivery_flex_scooter,flex,135957,135957,0,Flex Policy,16/09/2017,16/09/2017,,,24,4.46,4.46
11149,GB_delivery_flex_scooter,flex,140583,140583,0,Flex Policy,23/09/2017,23/09/2017,,,5.53,4.02,4.02
